Song Library
Title,Artist,Genre,Mood,Energy
"Happy Together","The Turtles","Rock","Happy","High"
"I Like to Move It","Reel 2 Real","EDM","Happy","High"
"Levels","Avicii","EDM","Happy","High"
"Summer","Calvin Harris","EDM","Happy","High"
"Titanium","David Guetta ft. Sia","EDM","Intense","High"
"This Is What It Feels Like","Armin van Buuren","EDM","Happy","High"
"Clarity","Zedd ft. Foxes","EDM","Happy","High"
"Safe and Sound","Capital Cities","EDM","Happy","Medium"
"Firestone","Kygo ft. Conrad Sewell","EDM","Chill","Medium"
"Riptide","CRUISR","Pop","Happy","High"
"The Middle","Zedd, Marshmello","EDM","Happy","High"
"Waiting All Night","Rudimental","EDM","Happy","High"
"Bloom","ODESZA","EDM","Chill","Low"
"Lean On","Major Lazer & DJ Snake","EDM","Happy","High"
"Sunflower","Post Malone & Swae Lee","Pop","Happy","High"
"Kids","Foo Fighters","Rock","Happy","High"
"Blank Space","Taylor Swift","Pop","Happy","Medium"
"Style","Taylor Swift","Pop","Happy","Medium"
"Wildest Dreams","Taylor Swift","Pop","Chill","Medium"
"Love Story","Taylor Swift","Folk","Happy","Medium"
"Willow","Taylor Swift","Folk","Chill","Low"
"Cardigan","Taylor Swift","Folk","Chill","Low"
"Shake It Off","Taylor Swift","Pop","Happy","High"
"Anti-Hero","Taylor Swift","Pop","Chill","Medium"
"You Belong With Me","Taylor Swift","Pop","Happy","Medium"
"Look What You Made Me Do","Taylor Swift","Pop","Intense","Medium"
"Ready For It?","Taylor Swift","Pop","Intense","High"
"ME!","Taylor Swift","Pop","Happy","High"
"Levitating","Dua Lipa","Pop","Happy","High"
"Don't Start Now","Dua Lipa","Pop","Happy","High"
"Break My Heart","Dua Lipa","Pop","Happy","Medium"
"IDGAF","Dua Lipa","Pop","Intense","Medium"
"Physical","Dua Lipa","Pop","Happy","High"
"Side to Side","Ariana Grande ft. Nicki Minaj","Pop","Happy","High"
"No Tears Left To Cry","Ariana Grande","Pop","Chill","Medium"
"Focus","Ariana Grande","Pop","Happy","Medium"
"Love Me Like You Do","Ella Henderson","Pop","Chill","Medium"
